FOR_AIN	0.033419	0.366296
FOR_URD	0.030336	0.245311
FOR_OTS	0.029625	0.243119
FOR_ARI	0.032832	0.352196
FOR_LEK	0.032107	0.376989
FOR_MAR	0.032785	0.357817
FOR_ALM	0.049754	0.208420
FOR_VEN	0.026689	0.111502
PAZ_LAN	0.027765	0.063760
PAZ_ESC	0.025897	0.104732
PAZ_STP	0.035537	0.375159
PAZ_AIN	0.035703	0.386025
PAZ_URD	0.032773	0.263837
PAZ_OTS	0.032590	0.261719
PAZ_ARI	0.035407	0.372211
PAZ_LEK	0.038855	0.396365
PAZ_MAR	0.035945	0.376871
PAZ_ALM	0.054205	0.224012
PAZ_VEN	0.029477	0.126868
LAN_ESC	0.016044	0.062395
LAN_STP	0.035127	0.356008
LAN_AIN	0.035269	0.366627
LAN_URD	0.032259	0.241420
LAN_OTS	0.032043	0.237754
LAN_ARI	0.034981	0.352089
LAN_LEK	0.037851	0.376821
LAN_MAR	0.035481	0.357227
LAN_ALM	0.054994	0.202451
LAN_VEN	0.028641	0.097061
ESC_STP	0.026066	0.363015
ESC_AIN	0.019883	0.374223
ESC_URD	0.015683	0.252839
ESC_OTS	0.021312	0.250272
ESC_ARI	0.022562	0.359175
ESC_LEK	0.029352	0.384327
ESC_MAR	0.026634	0.363691
ESC_ALM	0.137435	0.213675
ESC_VEN	0.011303	0.117134
STP_AIN	0.026427	0.034851
STP_URD	0.030065	0.173336
STP_OTS	0.030864	0.195698
STP_ARI	0.026458	0.034899
STP_LEK	0.027656	0.039630
STP_MAR	0.027272	0.047882
STP_ALM	0.056772	0.206436
STP_VEN	0.032847	0.265355
AIN_URD	0.030272	0.182778
AIN_OTS	0.031101	0.206641
AIN_ARI	0.026452	0.035902
AIN_LEK	0.025783	0.037928
AIN_MAR	0.027170	0.047771
AIN_ALM	0.058050	0.217765
AIN_VEN	0.033029	0.276576
URD_OTS	0.026951	0.040778
URD_ARI	0.029993	0.169081
URD_LEK	0.030268	0.197349
URD_MAR	0.030638	0.179912
URD_ALM	0.054255	0.055304
URD_VEN	0.029483	0.131084
OTS_ARI	0.030727	0.191544
OTS_LEK	0.032963	0.219914
OTS_MAR	0.031277	0.200661
OTS_ALM	0.053404	0.053534
OTS_VEN	0.029330	0.127977
ARI_LEK	0.026565	0.037691
ARI_MAR	0.027058	0.045242
ARI_ALM	0.056977	0.201479
ARI_VEN	0.032697	0.260781
LEK_MAR	0.028734	0.049062
LEK_ALM	0.067703	0.229476
LEK_VEN	0.033308	0.286919
MAR_ALM	0.057002	0.210560
MAR_VEN	0.033179	0.267402
ALM_VEN	0.054767	0.102582
OUT_GAB	0.079067	0.222260
OUT_HER	0.031855	0.179054
OUT_SOQ	0.027583	0.175530
OUT_TOU	0.033631	0.261887
OUT_ARA	0.034053	0.275795
OUT_POR	0.026217	0.234461
OUT_MUL	0.026095	0.291754
OUT_TRO	0.032609	0.392068
OUT_PAZ	0.036913	0.441873
OUT_LAN	0.036496	0.422838
OUT_ESC	0.045892	0.434307
OUT_STP	0.030651	0.169918
OUT_AIN	0.030646	0.171200
OUT_URD	0.032639	0.262186
OUT_OTS	0.032994	0.279173
OUT_ARI	0.030638	0.169314
OUT_LEK	0.034652	0.176266
OUT_MAR	0.031193	0.179283
OUT_ALM	0.055527	0.282801
OUT_VEN	0.034669	0.340650
GAB_HER	0.022368	0.102480
GAB_SOQ	0.030232	0.106489
